Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 43 000 км/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 73 000 км/"https://im.mashina.kg/tachka/images//5/4/9/549dc9a194ffb36de19a1c40a9f3e321_240x180.jpg"
Chevrolet Volt//2014 г., 1.4 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 96 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b7be63e774d36296161708b5ac235d_240x180.jpg"
Chevrolet Suburban//2007 г., 6 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км/"https://im.mashina.kg/tachka/images//9/3/4/934ef81fb8dd6c08c224a79d624a9ee6_240x180.jpg"
Land Rover Range Rover Sport//2006 г., 2.7 л., автомат/внедорожник 5 дв., дизель/руль слева/"https://im.mashina.kg/tachka/images//f/9/7/f973cee3e3aeb6612814a8df5214f0aa_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
BMW 5 Серия//2010 г., 2.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//3/d/c/3dc08c84aee3370b9d511693b088b7b3_240x180.jpg"
Chevrolet Camaro//2014 г., 3.6 л., автомат/купе, бензин/руль слева, 80 000 км/"https://im.mashina.kg/tachka/images//c/b/0/cb01e27289a4743ae37c3a8995503a92_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 43 000 км/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 73 000 км/"https://im.mashina.kg/tachka/images//5/4/9/549dc9a194ffb36de19a1c40a9f3e321_240x180.jpg"
Chevrolet Volt//2014 г., 1.4 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 96 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b7be63e774d36296161708b5ac235d_240x180.jpg"
Chevrolet Suburban//2007 г., 6 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км/"https://im.mashina.kg/tachka/images//9/3/4/934ef81fb8dd6c08c224a79d624a9ee6_240x180.jpg"
Land Rover Range Rover Sport//2006 г., 2.7 л., автомат/внедорожник 5 дв., дизель/руль слева/"https://im.mashina.kg/tachka/images//f/9/7/f973cee3e3aeb6612814a8df5214f0aa_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
BMW 5 Серия//2010 г., 2.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//3/d/c/3dc08c84aee3370b9d511693b088b7b3_240x180.jpg"
Chevrolet Camaro//2014 г., 3.6 л., автомат/купе, бензин/руль слева, 80 000 км/"https://im.mashina.kg/tachka/images//c/b/0/cb01e27289a4743ae37c3a8995503a92_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 43 000 км/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 73 000 км/"https://im.mashina.kg/tachka/images//5/4/9/549dc9a194ffb36de19a1c40a9f3e321_240x180.jpg"
Chevrolet Volt//2014 г., 1.4 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 96 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b7be63e774d36296161708b5ac235d_240x180.jpg"
Chevrolet Suburban//2007 г., 6 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км/"https://im.mashina.kg/tachka/images//9/3/4/934ef81fb8dd6c08c224a79d624a9ee6_240x180.jpg"
Land Rover Range Rover Sport//2006 г., 2.7 л., автомат/внедорожник 5 дв., дизель/руль слева/"https://im.mashina.kg/tachka/images//f/9/7/f973cee3e3aeb6612814a8df5214f0aa_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
BMW 5 Серия//2010 г., 2.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//3/d/c/3dc08c84aee3370b9d511693b088b7b3_240x180.jpg"
Chevrolet Camaro//2014 г., 3.6 л., автомат/купе, бензин/руль слева, 80 000 км/"https://im.mashina.kg/tachka/images//c/b/0/cb01e27289a4743ae37c3a8995503a92_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 43 000 км/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 73 000 км/"https://im.mashina.kg/tachka/images//5/4/9/549dc9a194ffb36de19a1c40a9f3e321_240x180.jpg"
Chevrolet Volt//2014 г., 1.4 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 96 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b7be63e774d36296161708b5ac235d_240x180.jpg"
Chevrolet Suburban//2007 г., 6 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км/"https://im.mashina.kg/tachka/images//9/3/4/934ef81fb8dd6c08c224a79d624a9ee6_240x180.jpg"
Land Rover Range Rover Sport//2006 г., 2.7 л., автомат/внедорожник 5 дв., дизель/руль слева/"https://im.mashina.kg/tachka/images//f/9/7/f973cee3e3aeb6612814a8df5214f0aa_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
BMW 5 Серия//2010 г., 2.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//3/d/c/3dc08c84aee3370b9d511693b088b7b3_240x180.jpg"
Chevrolet Camaro//2014 г., 3.6 л., автомат/купе, бензин/руль слева, 80 000 км/"https://im.mashina.kg/tachka/images//c/b/0/cb01e27289a4743ae37c3a8995503a92_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 43 000 км/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 73 000 км/"https://im.mashina.kg/tachka/images//5/4/9/549dc9a194ffb36de19a1c40a9f3e321_240x180.jpg"
Chevrolet Volt//2014 г., 1.4 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 96 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b7be63e774d36296161708b5ac235d_240x180.jpg"
Chevrolet Suburban//2007 г., 6 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км/"https://im.mashina.kg/tachka/images//9/3/4/934ef81fb8dd6c08c224a79d624a9ee6_240x180.jpg"
Land Rover Range Rover Sport//2006 г., 2.7 л., автомат/внедорожник 5 дв., дизель/руль слева/"https://im.mashina.kg/tachka/images//f/9/7/f973cee3e3aeb6612814a8df5214f0aa_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
BMW 5 Серия//2010 г., 2.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//3/d/c/3dc08c84aee3370b9d511693b088b7b3_240x180.jpg"
Chevrolet Camaro//2014 г., 3.6 л., автомат/купе, бензин/руль слева, 80 000 км/"https://im.mashina.kg/tachka/images//c/b/0/cb01e27289a4743ae37c3a8995503a92_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 43 000 км/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 73 000 км/"https://im.mashina.kg/tachka/images//5/4/9/549dc9a194ffb36de19a1c40a9f3e321_240x180.jpg"
Chevrolet Volt//2014 г., 1.4 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 96 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b7be63e774d36296161708b5ac235d_240x180.jpg"
Chevrolet Suburban//2007 г., 6 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км/"https://im.mashina.kg/tachka/images//9/3/4/934ef81fb8dd6c08c224a79d624a9ee6_240x180.jpg"
Land Rover Range Rover Sport//2006 г., 2.7 л., автомат/внедорожник 5 дв., дизель/руль слева/"https://im.mashina.kg/tachka/images//f/9/7/f973cee3e3aeb6612814a8df5214f0aa_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
BMW 5 Серия//2010 г., 2.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//3/d/c/3dc08c84aee3370b9d511693b088b7b3_240x180.jpg"
Chevrolet Camaro//2014 г., 3.6 л., автомат/купе, бензин/руль слева, 80 000 км/"https://im.mashina.kg/tachka/images//c/b/0/cb01e27289a4743ae37c3a8995503a92_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 43 000 км/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 73 000 км/"https://im.mashina.kg/tachka/images//5/4/9/549dc9a194ffb36de19a1c40a9f3e321_240x180.jpg"
Chevrolet Volt//2014 г., 1.4 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 96 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b7be63e774d36296161708b5ac235d_240x180.jpg"
Chevrolet Suburban//2007 г., 6 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км/"https://im.mashina.kg/tachka/images//9/3/4/934ef81fb8dd6c08c224a79d624a9ee6_240x180.jpg"
Land Rover Range Rover Sport//2006 г., 2.7 л., автомат/внедорожник 5 дв., дизель/руль слева/"https://im.mashina.kg/tachka/images//f/9/7/f973cee3e3aeb6612814a8df5214f0aa_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
BMW 5 Серия//2010 г., 2.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//3/d/c/3dc08c84aee3370b9d511693b088b7b3_240x180.jpg"
Chevrolet Camaro//2014 г., 3.6 л., автомат/купе, бензин/руль слева, 80 000 км/"https://im.mashina.kg/tachka/images//c/b/0/cb01e27289a4743ae37c3a8995503a92_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 43 000 км/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"
Toyota Camry//2017 г., 2.5 л., автомат/седан, бензин/руль слева, 73 000 км/"https://im.mashina.kg/tachka/images//5/4/9/549dc9a194ffb36de19a1c40a9f3e321_240x180.jpg"
Chevrolet Volt//2014 г., 1.4 л., вариатор/хэтчбек 5 дв., гибрид/руль слева, 96 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b7be63e774d36296161708b5ac235d_240x180.jpg"
Chevrolet Suburban//2007 г., 6 л., автомат/внедорожник 5 дв., бензин/руль слева, 170 000 км/"https://im.mashina.kg/tachka/images//9/3/4/934ef81fb8dd6c08c224a79d624a9ee6_240x180.jpg"
Land Rover Range Rover Sport//2006 г., 2.7 л., автомат/внедорожник 5 дв., дизель/руль слева/"https://im.mashina.kg/tachka/images//f/9/7/f973cee3e3aeb6612814a8df5214f0aa_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Toyota Avalon//2015 г., 2.5 л., вариатор/седан, гибрид/руль слева, 90 000 км/"https://im.mashina.kg/tachka/images//1/9/2/1922df20e6a6f9461818550c7cc2c346_240x180.jpg"
BMW 5 Серия//2010 г., 2.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//3/d/c/3dc08c84aee3370b9d511693b088b7b3_240x180.jpg"
Chevrolet Camaro//2014 г., 3.6 л., автомат/купе, бензин/руль слева, 80 000 км/"https://im.mashina.kg/tachka/images//c/b/0/cb01e27289a4743ae37c3a8995503a92_240x180.jpg"
Honda Accord//2003 г., 2.4 л., автомат/универсал, бензин/руль справа/"https://im.mashina.kg/tachka/images//1/2/f/12f77b7d0aa9c98220570ce2b4d8cf00_240x180.jpg"
Lexus GS//2006 г., 3 л., автомат/седан, бензин/руль слева, 273 588 км/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"
Toyota Highlander//2018 г., 3.5 л., автомат/внедорожник, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//b/4/5/b45563bdfd34ee8c979c8ba4272be6e9_240x180.jpg"
